transaction_id,customer_age,account_age_days,transaction_amount,hour_of_day,day_of_week,merchant_category,transaction_type,channel,international,country_match,device_trusted,previous_failed_attempts,transactions_last_24h,avg_amount_30d,amount_to_avg_ratio,distance_from_home_km,card_present,is_fraud
TXN000069,50,748,26.51,10,Monday,grocery,cash_withdrawal,pos,0,1,1,1,3,75.39,0.3517,15.54,1,0
TXN000070,37,3669,57.45,4,Tuesday,electronics,purchase,pos,0,1,0,0,3,52.4,1.0965,34.0,1,0
TXN000071,22,449,199.9,7,Wednesday,fuel,purchase,atm,0,1,0,0,10,45.03,4.4396,12.33,1,0
TXN000072,24,366,4.07,3,Friday,fuel,transfer,mobile_app,0,1,1,1,7,8.0,0.509,58.61,0,0
TXN000073,27,607,170.26,3,Friday,grocery,purchase,mobile_app,0,1,1,0,8,186.78,0.9115,23.52,0,0
TXN000074,45,765,58.78,17,Tuesday,fashion,cash_withdrawal,pos,0,1,1,0,9,22.33,2.632,78.35,0,0
TXN000075,41,400,276.34,3,Monday,grocery,purchase,web,0,1,1,0,4,186.29,1.4834,57.8,1,0
TXN000076,48,941,84.97,11,Tuesday,electronics,purchase,pos,0,1,1,0,4,14.98,5.673,30.19,1,0
TXN000077,33,1014,13.3,10,Wednesday,travel,cash_withdrawal,atm,0,1,1,0,7,23.69,0.5612,42.07,1,0
TXN000078,41,1270,4.06,1,Monday,travel,purchase,mobile_app,0,1,1,0,5,8.71,0.4664,34.61,0,0
TXN000079,47,533,126.74,19,Friday,fashion,purchase,mobile_app,0,1,0,0,4,55.19,2.2965,6.94,0,0
TXN000080,35,1835,7.74,23,Tuesday,grocery,purchase,pos,0,1,1,0,5,19.24,0.4021,29.1,1,0
TXN000081,45,1213,16.21,15,Wednesday,grocery,cash_withdrawal,mobile_app,0,1,1,0,9,19.64,0.8256,27.78,0,0
TXN000082,30,442,14.36,16,Wednesday,grocery,purchase,atm,0,1,0,0,8,15.83,0.9073,22.03,1,0
TXN000083,34,399,149.25,5,Thursday,fashion,purchase,pos,0,1,1,0,4,74.42,2.0055,36.97,1,0
TXN000084,34,639,105.06,20,Saturday,healthcare,purchase,mobile_app,0,1,1,0,5,70.97,1.4803,29.71,0,0
TXN000085,23,1016,207.21,18,Tuesday,fuel,bill_payment,mobile_app,1,0,0,0,6,156.75,1.3219,180.8,1,0
TXN000086,45,1119,18.48,10,Wednesday,fuel,purchase,web,0,1,1,0,7,25.95,0.7119,75.35,0,0
TXN000087,33,1211,113.56,16,Friday,digital_goods,purchase,pos,1,0,1,1,8,49.78,2.2814,121.18,1,0
TXN000088,39,2804,290.11,22,Monday,electronics,purchase,web,0,1,1,0,7,16.81,17.2635,47.62,0,1
TXN000089,45,152,52.27,14,Saturday,grocery,purchase,mobile_app,0,1,1,1,4,33.41,1.5647,23.34,0,0
TXN000090,45,733,29.91,4,Sunday,restaurant,purchase,mobile_app,1,0,1,0,4,29.27,1.022,236.04,0,0
TXN000091,48,2658,22.2,7,Friday,electronics,transfer,mobile_app,0,1,0,2,4,59.41,0.3736,40.71,0,0
TXN000092,38,1309,53.16,4,Sunday,restaurant,cash_withdrawal,mobile_app,0,1,1,0,5,88.43,0.6011,30.25,0,0
TXN000093,33,347,70.79,7,Wednesday,restaurant,purchase,mobile_app,0,1,0,0,7,86.8,0.8156,13.77,0,0
TXN000094,38,908,15.0,21,Wednesday,electronics,purchase,pos,0,1,1,0,4,23.18,0.6473,77.72,0,0
TXN000095,18,701,82.05,4,Monday,restaurant,purchase,mobile_app,0,1,0,0,9,87.26,0.9403,54.82,0,0
TXN000096,20,682,140.95,21,Monday,travel,purchase,pos,0,1,1,0,8,41.19,3.4218,12.74,1,0
TXN000097,22,525,78.59,6,Tuesday,grocery,purchase,pos,0,1,1,1,5,33.66,2.3349,4.77,1,0
TXN000098,26,857,21.66,11,Thursday,digital_goods,purchase,atm,1,0,0,0,7,25.53,0.8484,46.22,1,0
TXN000099,44,1619,11.32,12,Thursday,fashion,transfer,atm,0,1,0,2,6,28.41,0.3985,9.88,1,0
TXN000100,27,563,371.43,3,Tuesday,grocery,purchase,mobile_app,0,1,1,0,5,149.08,2.4915,21.47,0,0
TXN000101,34,1217,48.72,4,Friday,grocery,purchase,web,0,1,1,0,8,53.06,0.9182,45.34,0,0
TXN000102,56,1362,13.23,7,Tuesday,grocery,bill_payment,mobile_app,0,1,1,0,2,48.22,0.2744,54.54,0,0
TXN000103,34,1825,55.93,1,Wednesday,grocery,purchase,mobile_app,0,1,1,0,3,35.2,1.5888,4.17,0,0
TXN000104,49,393,492.55,18,Tuesday,grocery,purchase,web,0,1,1,0,3,247.42,1.9907,6.43,0,0
TXN000105,27,809,18.05,13,Friday,grocery,purchase,mobile_app,0,1,1,0,11,108.81,0.1659,9.54,0,0
TXN000106,36,478,13.29,20,Thursday,digital_goods,bill_payment,mobile_app,0,1,1,0,2,25.3,0.5254,28.72,0,0
TXN000107,27,858,30.68,20,Saturday,digital_goods,purchase,atm,0,1,1,0,4,34.92,0.8785,57.39,0,0
TXN000108,35,854,58.83,8,Monday,fashion,purchase,web,0,1,0,2,9,36.44,1.6142,23.45,0,0
TXN000109,50,314,30.99,19,Thursday,fuel,purchase,mobile_app,0,1,1,0,4,47.23,0.6562,4.01,0,0
TXN000110,18,894,13.41,1,Sunday,fashion,purchase,mobile_app,0,1,1,0,5,25.66,0.5225,31.71,0,0
TXN000111,45,2893,93.64,10,Monday,fashion,purchase,mobile_app,0,1,1,0,4,58.32,1.6057,16.46,0,0
TXN000112,42,1122,82.13,15,Wednesday,digital_goods,purchase,web,0,1,1,1,2,120.97,0.679,16.71,0,0
TXN000113,31,259,23.21,11,Monday,fashion,transfer,web,0,1,1,0,7,16.51,1.4053,28.49,0,1
TXN000114,20,373,8.06,17,Tuesday,fashion,cash_withdrawal,mobile_app,0,1,1,0,5,18.87,0.4273,38.19,0,0
TXN000115,40,779,10.79,20,Thursday,digital_goods,purchase,web,1,0,1,0,7,30.03,0.3593,216.17,0,0
TXN000116,32,380,50.87,10,Tuesday,restaurant,purchase,pos,0,1,0,1,2,31.05,1.6385,58.61,1,0
TXN000117,42,1763,204.53,6,Thursday,electronics,purchase,web,0,1,1,0,10,179.27,1.1409,47.51,0,0
TXN000118,39,230,161.64,13,Sunday,grocery,purchase,web,0,1,1,0,5,87.46,1.8481,43.45,0,0
TXN000119,60,1128,54.4,20,Tuesday,restaurant,cash_withdrawal,atm,0,1,1,0,5,83.92,0.6483,6.01,1,0
TXN000120,36,185,18.86,23,Monday,grocery,purchase,pos,0,1,1,1,11,35.15,0.5366,40.8,1,0
TXN000121,26,770,87.67,19,Saturday,grocery,transfer,pos,0,1,1,0,3,34.6,2.5338,21.85,1,0
TXN000122,41,334,4.75,5,Thursday,grocery,purchase,mobile_app,1,1,1,0,3,14.95,0.3177,180.67,0,0
TXN000123,42,1268,174.85,4,Sunday,electronics,cash_withdrawal,mobile_app,0,1,1,0,6,74.65,2.3421,15.43,0,0
TXN000124,57,1576,149.06,13,Wednesday,healthcare,transfer,mobile_app,0,1,1,0,6,60.56,2.4615,20.33,1,0
TXN000125,50,1013,189.65,9,Friday,travel,cash_withdrawal,pos,0,1,1,0,3,107.33,1.767,13.57,1,0
TXN000126,44,1623,21.18,14,Sunday,electronics,transfer,mobile_app,0,1,1,1,6,36.53,0.5797,16.04,0,0
TXN000127,58,59,20.29,22,Tuesday,restaurant,transfer,pos,0,1,0,1,7,38.39,0.5284,67.24,1,0
TXN000128,24,886,39.3,13,Saturday,electronics,purchase,mobile_app,1,0,1,0,4,48.06,0.8177,113.12,0,0
TXN000129,31,1117,30.26,8,Friday,fuel,purchase,web,0,1,1,0,8,80.82,0.3744,26.5,0,0
TXN000130,27,1215,7.02,20,Saturday,fuel,purchase,mobile_app,0,1,0,1,3,14.75,0.476,15.43,0,0
TXN000131,34,1072,109.31,10,Tuesday,grocery,transfer,web,0,1,1,0,4,72.24,1.5132,26.46,0,1
TXN000132,21,1233,63.61,14,Thursday,restaurant,purchase,web,1,0,1,0,4,41.9,1.5182,169.93,0,0
TXN000133,47,879,8.86,3,Monday,grocery,bill_payment,pos,0,1,1,1,5,19.84,0.4468,40.37,1,0
TXN000134,36,261,14.67,12,Sunday,fuel,purchase,web,0,1,1,0,5,9.48,1.5478,24.37,0,0
TXN000135,20,522,50.85,10,Monday,healthcare,cash_withdrawal,web,0,1,1,0,1,38.54,1.3193,71.93,0,0
TXN000136,26,1769,340.18,2,Monday,digital_goods,purchase,atm,0,1,1,0,6,120.58,2.8211,4.68,1,0
TXN000137,43,1642,203.48,5,Sunday,electronics,bill_payment,pos,0,1,1,0,6,141.99,1.433,13.66,1,0
TXN000138,50,1103,111.95,16,Wednesday,fashion,purchase,pos,1,0,0,0,6,54.92,2.0384,112.47,1,1
TXN000139,65,1286,234.19,4,Friday,fashion,purchase,atm,0,1,1,0,9,174.63,1.3411,10.26,1,0
TXN000140,77,1518,79.41,3,Wednesday,digital_goods,transfer,web,0,1,1,1,6,41.23,1.9262,37.91,0,0
TXN000141,44,1094,31.81,1,Friday,electronics,purchase,pos,0,1,0,0,4,84.47,0.3765,13.2,1,0
TXN000142,26,1736,26.77,0,Tuesday,restaurant,purchase,web,0,1,1,0,6,30.73,0.8714,29.29,0,0
TXN000143,18,1700,27.15,10,Thursday,electronics,transfer,pos,0,1,1,0,6,29.36,0.9249,73.29,1,0
TXN000144,42,3461,20.84,11,Thursday,grocery,transfer,pos,0,1,1,1,6,26.11,0.7981,0.92,1,0
TXN000145,28,539,12.63,14,Wednesday,fuel,purchase,mobile_app,0,1,1,0,4,9.64,1.3094,36.41,0,0
TXN000146,34,547,161.33,13,Tuesday,restaurant,purchase,mobile_app,1,0,1,1,4,107.42,1.5019,144.15,0,0
TXN000147,31,1039,33.8,12,Tuesday,electronics,purchase,pos,0,1,1,1,5,26.79,1.2617,14.87,0,0
TXN000148,37,2561,20.0,23,Friday,digital_goods,purchase,atm,0,1,0,1,6,23.88,0.8374,32.41,1,0
TXN000149,53,1825,10.18,5,Tuesday,restaurant,purchase,web,0,1,1,0,6,18.18,0.5601,27.33,0,0
TXN000150,41,1392,76.93,17,Wednesday,healthcare,purchase,pos,0,1,0,0,5,36.7,2.0959,39.75,1,0
TXN000151,37,1905,185.22,1,Wednesday,fashion,purchase,web,0,1,1,1,2,151.37,1.2236,16.36,0,0
TXN000152,26,1130,87.72,20,Thursday,digital_goods,purchase,mobile_app,0,1,1,0,8,192.0,0.4568,16.9,1,0
TXN000153,18,644,10.64,8,Friday,fashion,transfer,web,0,1,1,0,6,12.86,0.8274,33.11,1,0
TXN000154,33,2960,8.93,8,Thursday,grocery,purchase,mobile_app,0,1,1,0,5,32.94,0.2711,24.43,0,0
TXN000155,38,1075,19.7,3,Sunday,grocery,purchase,web,0,1,1,0,3,20.19,0.9758,55.53,0,0
TXN000156,62,1676,71.43,12,Friday,digital_goods,bill_payment,pos,0,1,1,1,4,86.63,0.8246,26.2,1,0
TXN000157,41,58,32.88,9,Saturday,grocery,transfer,mobile_app,0,1,1,0,9,52.27,0.629,34.12,1,0
TXN000158,52,77,80.04,23,Friday,travel,purchase,pos,0,1,1,1,8,26.89,2.977,17.25,1,0
TXN000159,33,906,18.54,4,Tuesday,fuel,bill_payment,pos,0,1,1,0,6,44.8,0.4138,17.18,1,0
TXN000160,24,380,47.7,10,Sunday,electronics,purchase,mobile_app,0,1,1,0,3,30.15,1.5819,44.29,0,0
TXN000161,26,965,624.33,21,Saturday,electronics,purchase,pos,0,1,1,0,4,135.95,4.5925,48.25,1,0
TXN000162,30,547,130.25,19,Friday,restaurant,purchase,pos,1,0,0,0,9,63.04,2.066,59.44,1,0
TXN000163,67,3773,64.04,18,Tuesday,travel,purchase,web,0,1,1,0,8,68.87,0.9299,20.61,0,0
TXN000164,28,1590,3.36,12,Tuesday,fuel,cash_withdrawal,mobile_app,0,1,1,0,9,8.0,0.4204,34.41,1,0
TXN000165,50,2023,14.46,20,Friday,grocery,purchase,mobile_app,0,1,1,0,8,40.52,0.3568,1.2,1,0
TXN000166,27,99,134.77,5,Wednesday,restaurant,transfer,web,0,1,1,0,5,190.55,0.7073,20.34,0,0
TXN000167,51,1380,64.08,19,Friday,grocery,purchase,mobile_app,0,1,1,0,8,110.48,0.5801,98.91,0,0
TXN000168,44,703,6.37,13,Wednesday,fuel,purchase,mobile_app,0,1,0,0,3,11.25,0.5666,10.56,0,0
TXN000169,37,2047,25.52,8,Thursday,grocery,purchase,pos,0,1,1,1,4,33.93,0.7521,10.12,1,0
TXN000170,38,1249,15.82,5,Tuesday,grocery,purchase,atm,0,1,0,3,4,17.9,0.8837,23.12,1,0
TXN000171,30,780,196.63,12,Tuesday,digital_goods,bill_payment,atm,0,1,1,0,7,145.76,1.349,24.71,1,0
TXN000172,45,288,19.78,0,Monday,electronics,cash_withdrawal,pos,0,1,0,0,2,50.7,0.3902,18.38,1,0
TXN000173,33,894,14.24,17,Saturday,fashion,transfer,mobile_app,0,1,0,0,3,24.46,0.582,49.08,0,0
TXN000174,23,1743,36.95,5,Thursday,electronics,cash_withdrawal,mobile_app,0,1,1,0,6,43.58,0.8479,2.9,0,0
TXN000175,22,2123,6.61,9,Sunday,electronics,purchase,atm,0,1,0,0,6,8.0,0.8263,9.72,0,0
TXN000176,41,612,69.48,4,Saturday,electronics,purchase,web,0,1,1,0,6,19.47,3.5688,20.46,0,1
TXN000177,60,3398,49.08,11,Saturday,digital_goods,purchase,mobile_app,0,1,1,1,6,43.65,1.1244,57.38,0,0
TXN000178,41,1656,23.27,8,Thursday,travel,transfer,pos,0,1,1,2,3,78.17,0.2977,13.85,1,0
TXN000179,37,387,13.51,4,Saturday,electronics,purchase,mobile_app,0,1,1,0,3,10.51,1.2854,8.67,0,0
TXN000180,43,314,45.53,21,Sunday,restaurant,purchase,web,0,1,1,1,3,32.32,1.409,1.8,0,0
TXN000181,56,737,76.47,18,Saturday,travel,cash_withdrawal,web,0,1,1,1,8,87.97,0.8693,7.62,0,0
TXN000182,42,611,5.94,9,Monday,fashion,purchase,atm,0,1,1,0,7,14.95,0.3971,2.13,1,0
TXN000183,34,1136,169.15,1,Friday,healthcare,purchase,mobile_app,1,0,1,0,6,50.15,3.373,152.97,0,0
TXN000184,53,827,19.63,20,Monday,restaurant,purchase,mobile_app,1,1,1,1,7,44.59,0.4403,72.97,0,0
TXN000185,45,652,223.66,16,Monday,restaurant,purchase,pos,0,1,1,0,4,146.11,1.5307,32.17,1,1
TXN000186,59,196,39.58,13,Friday,travel,purchase,pos,0,1,1,1,5,36.03,1.0986,38.85,1,0
TXN000187,41,1275,55.09,14,Saturday,healthcare,transfer,web,0,1,1,1,5,37.58,1.4661,6.21,0,0
TXN000188,23,179,255.83,0,Tuesday,restaurant,cash_withdrawal,mobile_app,0,1,1,1,4,78.69,3.2509,3.92,0,0
TXN000189,21,1659,23.32,11,Monday,grocery,purchase,web,0,1,1,0,5,16.36,1.4253,30.74,1,0
TXN000190,60,113,23.07,4,Sunday,healthcare,transfer,mobile_app,1,0,1,0,4,36.27,0.6362,108.19,0,0
TXN000191,61,169,64.6,15,Monday,healthcare,transfer,mobile_app,0,1,1,0,5,30.63,2.1092,23.12,0,0
TXN000192,37,386,23.23,22,Monday,restaurant,cash_withdrawal,mobile_app,1,1,1,1,7,38.47,0.6039,128.92,0,0
TXN000193,34,570,83.82,12,Saturday,travel,bill_payment,mobile_app,0,1,1,2,8,78.32,1.0701,21.74,0,0
TXN000194,58,480,23.76,14,Saturday,fuel,transfer,mobile_app,0,1,1,0,7,63.37,0.3749,14.8,0,0
TXN000195,25,568,11.21,16,Thursday,digital_goods,purchase,mobile_app,0,1,1,0,6,24.8,0.4521,17.31,0,0
TXN000196,27,979,46.31,22,Thursday,restaurant,purchase,pos,0,1,0,0,4,46.92,0.9871,45.35,1,0
TXN000197,47,393,154.18,0,Wednesday,travel,purchase,web,0,1,1,1,6,124.35,1.2399,21.41,0,0
TXN000198,34,985,6.53,7,Tuesday,electronics,purchase,web,0,1,1,0,6,23.37,0.2792,44.97,0,0
TXN000199,39,59,64.24,6,Saturday,travel,bill_payment,mobile_app,0,1,1,0,8,47.21,1.3608,26.29,1,0
TXN000200,37,381,19.51,17,Saturday,grocery,purchase,pos,0,1,1,1,8,37.0,0.5273,12.69,1,0
TXN000201,43,160,97.13,10,Wednesday,fashion,purchase,mobile_app,0,1,1,0,7,40.64,2.3902,34.44,0,0
TXN000202,57,1647,9.7,18,Tuesday,grocery,bill_payment,mobile_app,0,1,1,0,7,13.14,0.7383,22.1,0,0
TXN000203,40,439,49.74,11,Tuesday,travel,cash_withdrawal,atm,0,0,1,1,3,117.42,0.4236,53.55,1,0
TXN000204,47,1221,24.46,23,Monday,digital_goods,purchase,atm,0,1,1,0,7,24.35,1.0046,10.04,0,1
TXN000205,18,130,43.78,18,Wednesday,restaurant,transfer,pos,0,1,1,1,3,89.01,0.4918,2.18,1,0
TXN000206,38,2100,64.47,0,Monday,electronics,purchase,web,0,1,1,0,11,27.18,2.3718,37.46,0,1
TXN000207,28,863,25.79,23,Saturday,healthcare,purchase,mobile_app,0,1,0,0,6,27.1,0.9516,62.53,0,0
TXN000208,23,792,86.86,22,Tuesday,grocery,purchase,mobile_app,0,1,1,0,6,101.84,0.8528,45.88,0,0
TXN000209,28,199,126.68,1,Friday,digital_goods,bill_payment,web,1,1,1,0,8,86.97,1.4566,104.29,0,0
TXN000210,35,340,22.8,9,Thursday,grocery,purchase,mobile_app,1,0,1,0,7,49.41,0.4614,334.94,0,1
TXN000211,51,668,27.66,23,Saturday,restaurant,purchase,mobile_app,0,1,1,0,2,73.55,0.376,19.42,1,0
TXN000212,22,352,44.09,20,Sunday,fuel,cash_withdrawal,mobile_app,0,1,1,0,5,34.54,1.2764,8.01,0,0
TXN000213,39,1541,18.21,11,Wednesday,travel,transfer,pos,0,1,1,0,5,42.27,0.431,0.39,1,0
TXN000214,33,844,11.38,13,Monday,restaurant,purchase,mobile_app,0,1,1,0,11,26.41,0.4308,2.53,0,0
TXN000215,35,356,141.65,0,Saturday,electronics,purchase,mobile_app,0,1,1,0,5,81.53,1.7375,36.1,0,0
TXN000216,52,1386,35.83,13,Monday,restaurant,bill_payment,pos,1,1,1,0,6,25.81,1.3883,72.38,1,0
TXN000217,46,601,47.78,15,Tuesday,grocery,transfer,atm,0,1,1,0,8,123.88,0.3857,28.73,1,0
TXN000218,56,1344,20.63,8,Monday,fashion,purchase,web,1,1,1,1,6,33.87,0.6091,65.71,1,0
TXN000219,37,527,21.41,7,Sunday,fuel,purchase,atm,0,1,1,1,6,43.15,0.4962,23.97,1,0
TXN000220,30,1164,250.95,19,Monday,restaurant,purchase,mobile_app,0,1,0,0,8,73.43,3.4176,16.97,0,0
TXN000221,36,584,79.0,10,Thursday,grocery,cash_withdrawal,pos,0,1,1,1,4,43.26,1.8264,9.47,1,0
TXN000222,42,1541,24.11,6,Thursday,restaurant,purchase,mobile_app,0,0,1,1,3,34.31,0.7026,70.01,1,0
TXN000223,41,133,59.93,8,Friday,restaurant,transfer,pos,0,1,1,0,7,41.61,1.4403,9.43,1,0
